timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597151378040,295,/-5,200,OK,线程组 1-1,text,true,,22273,384,1,1,http://www.weather.com.cn/,252,0,38
1597151378338,114,/c/weather2015/index/main_0814.css-6,200,OK,线程组 1-1,text,true,,11995,375,1,1,http://i.tq121.com.cn/c/weather2015/index/main_0814.css?2019092418,113,0,7
1597151378454,25,/-14,200,OK,线程组 1-1,text,true,,1116,423,1,1,http://ocsp.dcocsp.cn/,25,0,9
1597151378480,36,/-15,200,OK,线程组 1-1,text,true,,1122,423,1,1,http://ocsp.dcocsp.cn/,36,0,0
1597151378517,40,/-13,200,OK,线程组 1-1,text,true,,1123,423,1,1,http://ocsp.dcocsp.cn/,40,0,0
1597151378558,94,/j/weather2015/index/main_0814.js-12,200,OK,线程组 1-1,text,true,,43389,352,1,1,http://i.tq121.com.cn/j/weather2015/index/main_0814.js?827,83,0,0
1597151378652,75,/j/weather2014/rili.js-9,200,OK,线程组 1-1,text,true,,2252,345,1,1,http://i.tq121.com.cn/j/weather2014/rili.js?id=2015,74,0,0
1597151378727,23,/-7,200,OK,线程组 1-1,text,true,,1118,423,1,1,http://ocsp.dcocsp.cn/,23,0,0
1597151378751,112,/j/version.js-16,200,OK,线程组 1-1,text,true,,378,348,1,1,http://i.tq121.com.cn/j/version.js?0.10424433889098883,112,0,0
1597151378863,73,/i/ucenter/pc/email.png-20,200,OK,线程组 1-1,bin,true,,3561,349,1,1,http://i.tq121.com.cn/i/ucenter/pc/email.png,73,0,0
1597151378938,11,/gsorganizationvalsha2g2-17,200,OK,线程组 1-1,text,true,,2417,448,1,1,http://ocsp2.globalsign.com/gsorganizationvalsha2g2,11,0,5
1597151378951,544,/images/cn/photo/2020/06/30/202006301120352B492ADE7C8B8246242A6C222212AA02.jpg-21,200,OK,线程组 1-1,bin,true,,81119,408,1,1,http://pic.weather.com.cn/images/cn/photo/2020/06/30/202006301120352B492ADE7C8B8246242A6C222212AA02.jpg,169,0,5
1597151379496,22,/images/cn/photo/2020/06/30/20200630101447BD97BBBDBD443F778B1AF6318D1A4E3F.jpg-18,200,OK,线程组 1-1,bin,true,,101207,408,1,1,http://pic.weather.com.cn/images/cn/photo/2020/06/30/20200630101447BD97BBBDBD443F778B1AF6318D1A4E3F.jpg,12,0,0
1597151379518,5,/i/weather2015/user/my-head.png-22,200,OK,线程组 1-1,bin,true,,1922,357,1,1,http://i.tq121.com.cn/i/weather2015/user/my-head.png,5,0,0
1597151379524,13,/images/cn/photo/2020/06/29/202006291558495FED4CCE6554F6DEABDCAE608E25D7CF.jpg-30,200,OK,线程组 1-1,bin,true,,57178,408,1,1,http://pic.weather.com.cn/images/cn/photo/2020/06/29/202006291558495FED4CCE6554F6DEABDCAE608E25D7CF.jpg,8,0,0
1597151379538,131,/i//product/pic/m/sevp_nmc_stfc_sfer_er24_achn_l88_p9_20200630060002400.jpg-19,200,OK,线程组 1-1,text,true,,4295,857,1,1,http://www.weather.com.cn/other/weather_error_404.html?r=pi.weather.com.cn/i/product/pic/m/sevp_nmc_stfc_sfer_er24_achn_l88_p9_20200630060002400.jpg,87,0,6
1597151379538,87,/i//product/pic/m/sevp_nmc_stfc_sfer_er24_achn_l88_p9_20200630060002400.jpg-19-0,302,Moved Temporarily,线程组 1-1,text,true,,646,404,1,1,http://pi.weather.com.cn/i//product/pic/m/sevp_nmc_stfc_sfer_er24_achn_l88_p9_20200630060002400.jpg,87,0,6
1597151379627,42,/i//product/pic/m/sevp_nmc_stfc_sfer_er24_achn_l88_p9_20200630060002400.jpg-19-1,200,OK,线程组 1-1,text,true,,3649,453,1,1,http://www.weather.com.cn/other/weather_error_404.html?r=pi.weather.com.cn/i/product/pic/m/sevp_nmc_stfc_sfer_er24_achn_l88_p9_20200630060002400.jpg,41,0,0
1597151379670,73,/i//product/pic/s/sevp_nsmc_wxbl_fy4a_etcc_achn_lno_py_20200630073000000.jpg-24,200,OK,线程组 1-1,text,true,,4302,859,1,1,http://www.weather.com.cn/other/weather_error_404.html?r=pi.weather.com.cn/i/product/pic/s/sevp_nsmc_wxbl_fy4a_etcc_achn_lno_py_20200630073000000.jpg,64,0,0
1597151379670,64,/i//product/pic/s/sevp_nsmc_wxbl_fy4a_etcc_achn_lno_py_20200630073000000.jpg-24-0,302,Moved Temporarily,线程组 1-1,text,true,,653,405,1,1,http://pi.weather.com.cn/i//product/pic/s/sevp_nsmc_wxbl_fy4a_etcc_achn_lno_py_20200630073000000.jpg,64,0,0
1597151379734,9,/i//product/pic/s/sevp_nsmc_wxbl_fy4a_etcc_achn_lno_py_20200630073000000.jpg-24-1,200,OK,线程组 1-1,text,true,,3649,454,1,1,http://www.weather.com.cn/other/weather_error_404.html?r=pi.weather.com.cn/i/product/pic/s/sevp_nsmc_wxbl_fy4a_etcc_achn_lno_py_20200630073000000.jpg,9,0,0
1597151379743,15,/images/cn/photo/2020/06/30/20200630113608C19AD227CC9874180183DF25642DC4BF.jpg-29,200,OK,线程组 1-1,bin,true,,93830,408,1,1,http://pic.weather.com.cn/images/cn/photo/2020/06/30/20200630113608C19AD227CC9874180183DF25642DC4BF.jpg,8,0,0
1597151379759,12,/images/cn/photo/2020/06/25/2020062511075499F86EF2F056C1A58C7A2237666A5DB8.jpg-28,200,OK,线程组 1-1,bin,true,,70144,408,1,1,http://pic.weather.com.cn/images/cn/photo/2020/06/25/2020062511075499F86EF2F056C1A58C7A2237666A5DB8.jpg,7,0,0
1597151379773,156,/images/cn/sjztj/2020/06/29/2020062911343196A3808E9B806FE44ABA4DB5E5A695EC.jpg-23,200,OK,线程组 1-1,bin,true,,65140,406,1,1,http://i.weather.com.cn/images/cn/sjztj/2020/06/29/2020062911343196A3808E9B806FE44ABA4DB5E5A695EC.jpg,134,0,17
1597151379929,37,/images/cn/index/2019/09/02/2019090215482837F83D2FD1F0E8AEBFC4C5DE07E1B6DE.jpg-25,200,OK,线程组 1-1,bin,true,,143307,406,1,1,http://i.weather.com.cn/images/cn/index/2019/09/02/2019090215482837F83D2FD1F0E8AEBFC4C5DE07E1B6DE.jpg,21,0,0
1597151379967,135,/images/cn/life/2020/06/16/202006161449513E3BF3077B0E41097965D0789CF03D78.jpg-36,200,OK,线程组 1-1,bin,true,,75501,405,1,1,http://i.weather.com.cn/images/cn/life/2020/06/16/202006161449513E3BF3077B0E41097965D0789CF03D78.jpg,95,0,0
