timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597196991483,241,/images/cn/life/2020/06/16/202006161449513E3BF3077B0E41097965D0789CF03D78.jpg-36,200,OK,线程组 1-1,bin,true,,75506,405,1,1,http://i.weather.com.cn/images/cn/life/2020/06/16/202006161449513E3BF3077B0E41097965D0789CF03D78.jpg,157,0,0
1597196991725,194,/images/cn/life/2020/06/28/20200628125950D2B43EE44DD3B2EA46621AA0E3401FE8.jpg-32,200,OK,线程组 1-1,bin,true,,64615,405,1,1,http://i.weather.com.cn/images/cn/life/2020/06/28/20200628125950D2B43EE44DD3B2EA46621AA0E3401FE8.jpg,122,0,0
1597196991920,51,/images/cn/photo/2019/10/28/20191028144048D58023A73C43EC6EEB61610B0AB0AD74_xm.jpg-38,200,OK,线程组 1-1,bin,true,,27010,411,1,1,http://pic.weather.com.cn/images/cn/photo/2019/10/28/20191028144048D58023A73C43EC6EEB61610B0AB0AD74_xm.jpg,35,0,13
1597196991971,224,/images/cn/life/2020/06/22/2020062209212667B20E735FDF691D9FA5D06C72150B10.jpg-37,200,OK,线程组 1-1,bin,true,,52047,405,1,1,http://i.weather.com.cn/images/cn/life/2020/06/22/2020062209212667B20E735FDF691D9FA5D06C72150B10.jpg,167,0,0
1597196992196,158,/images/cn/life/2020/06/29/20200629152605FDBA4A8C8B73B4075C66154ECC7054AC.jpg-31,200,OK,线程组 1-1,bin,true,,33529,405,1,1,http://i.weather.com.cn/images/cn/life/2020/06/29/20200629152605FDBA4A8C8B73B4075C66154ECC7054AC.jpg,132,0,0
1597196992355,503,/images/cn/index/2020/06/15/2020061510214249B3D90D7A7051CB7A14F2A4B0DF254D.png-26,200,OK,线程组 1-1,bin,true,,326795,406,1,1,http://i.weather.com.cn/images/cn/index/2020/06/15/2020061510214249B3D90D7A7051CB7A14F2A4B0DF254D.png,97,0,0
1597196992859,225,/images/cn/life/2020/06/24/20200624094100B20C89A2BABEF3BCA5070460F4BA02FD.jpg-33,200,OK,线程组 1-1,bin,true,,78080,405,1,1,http://i.weather.com.cn/images/cn/life/2020/06/24/20200624094100B20C89A2BABEF3BCA5070460F4BA02FD.jpg,145,0,0
1597196993085,176,/images/cn/news/2019/10/16/20191016180013A8588A9EB08603B1BABD1198C75E7194.jpg-40,200,OK,线程组 1-1,bin,true,,98505,405,1,1,http://i.weather.com.cn/images/cn/news/2019/10/16/20191016180013A8588A9EB08603B1BABD1198C75E7194.jpg,75,0,21
1597196993262,194,/images/cn/science/2019/02/11/201902111445397FDC90E247F8477463582D8C29EBE822.jpg-41,200,OK,线程组 1-1,bin,true,,48869,408,1,1,http://i.weather.com.cn/images/cn/science/2019/02/11/201902111445397FDC90E247F8477463582D8C29EBE822.jpg,152,0,0
1597196993456,36,/i/weather2015/index/loading.gif-47,200,OK,线程组 1-1,bin,true,,2123,358,1,1,http://i.tq121.com.cn/i/weather2015/index/loading.gif,36,0,27
1597196993493,7,/i/weather2017/selectCityBtnCur.png-46,200,OK,线程组 1-1,bin,true,,1862,361,1,1,http://i.tq121.com.cn/i/weather2017/selectCityBtnCur.png,7,0,0
1597196993501,139,/images/cn/sjztj/2019/10/29/201910281008514BABD1DE0A34725E596E45D93BD838D0_xm.jpg-34,200,OK,线程组 1-1,bin,true,,32341,409,1,1,http://i.weather.com.cn/images/cn/sjztj/2019/10/29/201910281008514BABD1DE0A34725E596E45D93BD838D0_xm.jpg,107,0,0
1597196993641,128,/images/cn/news/2019/10/23/20191023173718AE789778E6A8EC1311730736EF7071D2.jpg-43,200,OK,线程组 1-1,bin,true,,28110,405,1,1,http://i.weather.com.cn/images/cn/news/2019/10/23/20191023173718AE789778E6A8EC1311730736EF7071D2.jpg,104,0,0
1597196993770,144,/images/cn/science/2019/01/22/2019012210010705E6325396647C3B3154BAE3949C8C3D.jpg-44,200,OK,线程组 1-1,bin,true,,47585,408,1,1,http://i.weather.com.cn/images/cn/science/2019/01/22/2019012210010705E6325396647C3B3154BAE3949C8C3D.jpg,113,0,0
1597196993915,57,/i/weather2015/index/page_flip.png-48,200,OK,线程组 1-1,bin,true,,2027,360,1,1,http://i.tq121.com.cn/i/weather2015/index/page_flip.png,57,0,0
1597196993972,137,/images/cn/climate/2019/01/28/20190128114251E3EC693AB6DFBDECEF88074012C2408C.jpg-45,200,OK,线程组 1-1,bin,true,,45076,408,1,1,http://i.weather.com.cn/images/cn/climate/2019/01/28/20190128114251E3EC693AB6DFBDECEF88074012C2408C.jpg,98,0,0
1597196994110,62,/i/weather2015/index/weixin.png-49,200,OK,线程组 1-1,bin,true,,21690,357,1,1,http://i.tq121.com.cn/i/weather2015/index/weixin.png,30,0,0
1597196994173,31,/i/weather2017/cx_new.png-50,200,OK,线程组 1-1,bin,true,,9859,351,1,1,http://i.tq121.com.cn/i/weather2017/cx_new.png,30,0,0
1597196994205,190,/images/cn/index/2020/06/29/1593388736823054275.jpg-27,200,OK,线程组 1-1,bin,true,,18669,379,1,1,http://i.weather.com.cn/images/cn/index/2020/06/29/1593388736823054275.jpg,180,0,0
1597196994396,169,/images/cn/life/2020/06/23/202006231139039CF425AE9F72DE9E8F9D6B8D9363A7A6.jpg-35,200,OK,线程组 1-1,bin,true,,63069,405,1,1,http://i.weather.com.cn/images/cn/life/2020/06/23/202006231139039CF425AE9F72DE9E8F9D6B8D9363A7A6.jpg,105,0,0
1597196994566,154,/images/cn/science/2019/01/28/2019012814264980DE46E119A40EF86458E6A64E8EF33D.jpg-39,200,OK,线程组 1-1,bin,true,,49638,408,1,1,http://i.weather.com.cn/images/cn/science/2019/01/28/2019012814264980DE46E119A40EF86458E6A64E8EF33D.jpg,108,0,0
1597196994721,23,/chinasosearch/chinaso-weather1.html-51,200,OK,线程组 1-1,text,true,,2641,459,1,1,http://promotion.chinaso.com/chinasosearch/chinaso-weather1.html,23,0,8
1597196994745,46,/i/weather2015/index/slhx.png-52,200,OK,线程组 1-1,bin,true,,3013,355,1,1,http://i.tq121.com.cn/i/weather2015/index/slhx.png,46,0,0
1597196994792,568,/images/cn/climate/2019/12/03/20191203114313ED56810B95D5B15CD51B7C7DA0443CD3.jpg-42,200,OK,线程组 1-1,bin,true,,70605,408,1,1,http://i.weather.com.cn/images/cn/climate/2019/12/03/20191203114313ED56810B95D5B15CD51B7C7DA0443CD3.jpg,317,0,0
1597196995361,169,/webdig.js-53,200,OK,线程组 1-1,text,true,,4769,369,1,1,http://stat.chinaso.com/webdig.js?z=1,111,0,58
